*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2003 056     0  15.80  22.20   9.00  3.406  2.534  0.000  2.534  0.000    2.5    0.0    2.5    0.0
 2003 057     1  10.00  21.00  10.20  2.144  0.375  0.000  0.375  0.000    2.9    0.0    2.9    0.0
 2003 058     2   3.60  14.00   7.60  0.683  0.683  0.000  0.683  0.000    3.6    0.0    3.6    0.0
 2003 059     3  14.10  15.30   6.00  2.686  2.538  0.000  2.538  0.000    6.1    0.0    6.1    0.0
 2003 060     4   1.50  11.90   9.30  0.281  0.281  0.000  0.281  0.000    6.4    0.0    6.4    0.0
 2003 061     5   7.20  15.10   9.40  1.413  1.413  0.000  1.413  0.000    7.8    0.0    7.8    0.0
 2003 062     6   7.60  11.80   6.40  1.378  1.378  0.000  1.378  0.000    9.2    0.0    9.2    0.0
 2003 063     7   3.10  12.90   8.80  0.586  0.586  0.000  0.586  0.000    9.8    0.0    9.8    0.0
 2003 064     8   8.90  24.00  12.90  2.029  2.029  0.000  2.028  0.000   11.8    0.0   11.8    0.0
 2003 065     9   3.60  23.50  14.70  0.828  0.828  0.000  0.827  0.000   12.6    0.0   12.6    0.0
 2003 066    10   9.80  19.10  12.60  2.093  2.093  0.001  2.092  0.000   14.7    0.0   14.7    0.0
 2003 067    11  13.20  18.90   9.60  2.737  2.737  0.002  2.736  0.000   17.5    0.0   17.5    0.0
 2003 068    12   7.00  20.50  14.00  1.541  1.541  0.001  1.540  0.000   19.0    0.0   19.0    0.0
 2003 069    13  21.60  25.30   9.40  4.860  3.502  0.004  3.498  0.000   22.5    0.0   22.5    0.0
 2003 070    14  16.90  22.60   8.30  3.639  2.017  0.004  2.012  0.000   24.5    0.0   24.5    0.0
 2003 071    15  17.50  25.90  10.40  4.000  1.308  0.005  1.303  0.000   25.8    0.0   25.8    0.0
 2003 072    16  16.10  27.10  16.00  3.904  3.904  0.007  3.897  0.000   29.7    0.0   29.7    0.0
 2003 073    17   9.00  22.50  13.20  2.018  1.632  0.004  1.628  0.000   31.4    0.0   31.3    0.0
 2003 074    18   7.00  14.60  11.10  1.386  1.386  0.003  1.383  0.000   32.8    0.0   32.7    0.0
 2003 075    19  17.50  21.90  11.60  3.842  2.010  0.009  2.001  0.000   34.8    0.0   34.7    0.0
 2003 076    20   7.80  20.70  14.30  1.726  1.726  0.005  1.721  0.000   36.5    0.0   36.5    0.0
 2003 077    21  12.50  25.00  16.00  2.956  2.609  0.008  2.600  0.000   39.1    0.1   39.1    0.0
 2003 078    22  10.30  26.30  16.40  2.481  2.481  0.008  2.474  0.000   41.6    0.1   41.5    0.0
 2003 079    23  10.50  26.60  18.90  2.588  2.588  0.009  2.579  0.000   44.2    0.1   44.1    0.0
 2003 080    24  21.20  25.30  15.10  4.996  4.205  0.018  4.187  0.000   48.4    0.1   48.3    0.0
 2003 081    25  23.50  24.50  11.10  5.308  2.529  0.020  2.509  0.000   50.9    0.1   50.8    0.0
 2003 082    26  19.30  22.30  11.60  4.258  1.411  0.017  1.394  0.000   52.3    0.1   52.2    0.0
 2003 083    27  24.20  23.90   9.30  5.344  1.108  0.021  1.087  0.000   53.4    0.1   53.3    0.0
 2003 084    28  23.30  24.80  11.30  5.292  0.943  0.021  0.923  0.000   54.4    0.2   54.2    0.0
 2003 085    29  20.90  25.00  13.40  4.841  0.835  0.019  0.816  0.000   55.2    0.2   55.0    0.0
 2003 086    30  14.50  22.80  16.60  3.356  1.052  0.013  1.039  0.000   56.3    0.2   56.1    0.0
 2003 087    31   9.30  23.30  15.00  2.137  0.689  0.008  0.681  0.000   57.0    0.2   56.7    0.0
 2003 088    32  20.70  25.80  12.50  4.806  1.458  0.018  1.440  0.000   58.4    0.2   58.2    0.0
 2003 089    33  16.40  14.50   5.40  3.067  2.815  0.012  2.803  0.000   61.2    0.2   61.0    0.0
 2003 090    34  26.30  13.70   0.50  4.618  3.158  0.017  3.141  0.000   64.4    0.3   64.1    0.0
 2003 091    35  25.40  20.50   4.10  5.118  1.462  0.018  1.444  0.000   65.8    0.3   65.6    0.0
 2003 092    36  21.70  22.60  13.10  4.867  1.126  0.017  1.110  0.000   67.0    0.3   66.7    0.0
 2003 093    37  24.10  24.50   9.40  5.367  0.954  0.018  0.936  0.000   67.9    0.3   67.6    0.0
 2003 094    38  22.50  26.00  11.00  5.174  0.842  0.017  0.825  0.000   68.8    0.3   68.4    0.0
 2003 095    39  12.70  26.20  15.50  3.035  1.050  0.010  1.040  0.000   69.8    0.3   69.5    0.0
 2003 096    40  16.60  26.90  18.70  4.099  0.783  0.013  0.769  0.000   70.6    0.3   70.3    0.0
 2003 097    41   8.10  27.10  17.60  1.988  1.297  0.006  1.291  0.000   71.9    0.4   71.5    0.0
 2003 098    42   3.60  18.80  15.70  0.787  0.787  0.002  0.784  0.000   72.7    0.4   72.3    0.0
 2003 099    43   7.80  18.80  10.80  1.632  1.632  0.005  1.627  0.000   74.3    0.4   74.0    0.0
 2003 100    44   5.60  10.90   6.20  0.999  0.999  0.004  0.995  0.000   75.3    0.4   74.9    0.0
 2003 101    45  18.60  19.30   7.00  3.786  3.028  0.014  3.014  0.000   78.3    0.4   78.0    0.0
 2003 102    46  27.50  24.20   7.80  6.018  2.572  0.028  2.543  0.000   80.9    0.4   80.5    0.0
 2003 103    47  26.30  26.80  10.50  6.079  1.443  0.044  1.399  0.000   82.4    0.5   81.9    0.0
 2003 104    48  26.70  29.70  12.60  6.493  1.160  0.071  1.089  0.000   83.5    0.5   83.0    0.0
 2003 105    49  25.20  26.50  15.30  6.025  1.024  0.100  0.924  0.000   84.5    0.6   83.9    0.0
 2003 106    50  23.20  25.90  13.90  5.443  0.950  0.134  0.817  0.000   85.5    0.8   84.7    0.0
 2003 107    51  22.20  26.70  15.40  5.314  0.928  0.188  0.740  0.000   86.4    0.9   85.5    0.0
 2003 108    52  21.70  28.50  17.70  5.392  0.924  0.243  0.681  0.000   87.3    1.2   86.2    0.0
 2003 109    53  18.30  25.50  16.90  4.361  0.883  0.248  0.635  0.000   88.2    1.4   86.8    0.0
 2003 110    54  23.20  27.30  17.40  5.660  0.989  0.392  0.597  0.000   89.2    1.8   87.4    0.0
 2003 111    55  11.90  25.20  17.00  2.819  0.814  0.249  0.565  0.000   90.0    2.1   88.0    0.0
 2003 112    56  28.20  23.40  13.80  6.363  1.176  0.639  0.538  0.000   91.2    2.7   88.5    0.0
 2003 113    57  28.30  23.00  10.80  6.185  1.250  0.736  0.514  0.000   92.5    3.5   89.0    0.0
 2003 114    58  21.10  23.50  11.40  4.656  1.132  0.639  0.493  0.000   93.6    4.1   89.5    0.0
 2003 115    59   6.20  19.50  16.80  1.358  1.358  0.214  1.145  0.000   94.9    4.3   90.6    0.0
 2003 116    60  26.30  24.80  15.50  6.079  5.253  1.014  4.239  0.000  100.2    5.3   94.9    0.0
 2003 117    61  25.40  26.40  12.80  5.841  3.609  1.136  2.474  0.000  103.8    6.5   97.4    0.0
