*GROWTH ASPECTS OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2003 057     1     0    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 058     2     1    0.0      0   0.00      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 059     3     2    0.2      0   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   5.15   0.00   0.00      0      0     39.7   0.00   0.00   0.09   0.29   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 060     4     3    0.2      0   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   5.13   0.00   0.00      0      0     40.9   0.00   0.00   0.09   0.29   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 061     5     4    0.4      0   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   5.08   0.00   0.00      0      0     44.3   0.00   0.00   0.10   0.28   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 062     6     5    0.4      0   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   5.08   0.00   0.00      0      0     44.6   0.00   0.00   0.10   0.28   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 063     7     6    0.5      0   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   5.05   0.00   0.00      0      0     46.4   0.00   0.00   0.10   0.28   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 064     8     7    0.8      0   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.81   0.00   0.00      0      0     62.7   0.00   0.00   0.11   0.28   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 065     9     8    1.1      1   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.51   0.00   0.00      0      0     81.8   0.00   0.00   0.12   0.28   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 066    10     9    1.3      1   0.00      1      0      0      0      1      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.27   0.00   0.00      0      0     95.7   0.00   0.00   0.13   0.28   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
