*PLANT N OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2003 057     1     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2003 058     2     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2003 059     3     2    0.1    0.0    0.1   0.00   5.15    0.0    0.0    0.0    5.1   5.15   2.36    0.00    0.00
 2003 060     4     3    0.1    0.0    0.1   0.00   5.13    0.0    0.0    0.0    5.1   5.13   2.38    0.00    0.00
 2003 061     5     4    0.1    0.0    0.1   0.00   5.08    0.0    0.0    0.0    5.1   5.08   2.38    0.00    0.00
 2003 062     6     5    0.1    0.0    0.1   0.00   5.08    0.0    0.0    0.0    5.1   5.08   2.38    0.00    0.00
 2003 063     7     6    0.1    0.0    0.1   0.00   5.05    0.0    0.0    0.0    5.1   5.05   2.39    0.00    0.00
 2003 064     8     7    0.1    0.0    0.1   0.00   4.81    0.0    0.0    0.0    4.8   4.81   2.39    0.00    0.00
 2003 065     9     8    0.1    0.0    0.1   0.00   4.51    0.0    0.0    0.0    4.5   4.51   2.39    0.00    0.00
 2003 066    10     9    0.1    0.0    0.1   0.00   4.27    0.0    0.0    0.0    4.3   4.27   2.36    0.00    0.00
 2003 067    11    10    0.1    0.0    0.1   0.00   4.08    0.0    0.0    0.0    4.1   4.08   2.32    0.00    0.00
 2003 068    12    11    0.1    0.0    0.1   0.00   3.79    0.0    0.0    0.0    3.8   3.79   2.29    0.00    0.00
 2003 069    13    12    0.1    0.0    0.1   0.00   3.47    0.0    0.0    0.0    3.5   3.47   2.00    0.00    0.00
 2003 070    14    13    0.1    0.0    0.1   0.00   3.24    0.0    0.0    0.0    3.2   3.24   1.78    0.00    0.00
 2003 071    15    14    0.1    0.0    0.1   0.00   2.95    0.0    0.0    0.0    2.9   2.95   1.64    0.00    0.00
 2003 072    16    15    0.1    0.0    0.1   0.00   2.62    0.0    0.0    0.0    2.6   2.62   1.56    0.00    0.00
 2003 073    17    16    0.1    0.0    0.1   0.00   2.44    0.0    0.0    0.0    2.4   2.44   1.52    0.00    0.00
 2003 074    18    17    0.1    0.0    0.1   0.00   2.36    0.0    0.0    0.0    2.4   2.36   1.49    0.00    0.00
 2003 075    19    18    0.1    0.0    0.1   0.00   2.22    0.0    0.0    0.0    2.2   2.22   1.35    0.00    0.00
 2003 076    20    19    0.1    0.0    0.1   0.00   2.09    0.0    0.0    0.0    2.1   2.09   1.33    0.00    0.00
 2003 077    21    20    0.1    0.0    0.1   0.00   1.94    0.0    0.0    0.0    1.9   1.94   1.29    0.00    0.00
 2003 078    22    21    0.1    0.0    0.1   0.00   1.81    0.0    0.0    0.0    1.8   1.81   1.26    0.00    0.00
 2003 079    23    22    0.1    0.0    0.1   0.00   1.70    0.0    0.1    0.0    1.7   1.70   1.24    0.00    0.00
 2003 080    24    23    0.1    0.0    0.1   0.00   1.62    0.0    0.1    0.0    1.6   1.62   1.13    0.00    0.00
 2003 081    25    24    0.1    0.0    0.1   0.00   1.57    0.0    0.1    0.0    1.6   1.57   1.00    0.00    0.00
 2003 082    26    25    0.1    0.0    0.1   0.00   1.53    0.0    0.1    0.0    1.5   1.53   0.93    0.00    0.00
 2003 083    27    26    0.1    0.0    0.1   0.00   1.50    0.0    0.1    0.0    1.5   1.50   0.84    0.00    0.00
 2003 084    28    27    0.1    0.0    0.1   0.00   1.46    0.0    0.1    0.0    1.5   1.46   0.77    0.00    0.00
 2003 085    29    28    0.1    0.0    0.1   0.00   1.43    0.0    0.1    0.0    1.4   1.43   0.73    0.00    0.00
 2003 086    30    29    0.1    0.0    0.1   0.00   1.41    0.0    0.1    0.0    1.4   1.41   0.71    0.00    0.00
 2003 087    31    30    0.1    0.0    0.1   0.00   1.39    0.0    0.1    0.0    1.4   1.39   0.70    0.00    0.00
 2003 088    32    31    0.1    0.0    0.1   0.00   1.37    0.0    0.1    0.0    1.4   1.37   0.66    0.00    0.00
 2003 089    33    32    0.1    0.0    0.1   0.00   1.37    0.0    0.1    0.0    1.4   1.37   0.63    0.00    0.00
 2003 090    34    33    0.1    0.0    0.1   0.00   1.36    0.0    0.1    0.0    1.4   1.36   0.59    0.00    0.00
 2003 091    35    34    0.1    0.0    0.1   0.00   1.36    0.0    0.1    0.0    1.4   1.36   0.55    0.00    0.00
 2003 092    36    35    0.1    0.0    0.1   0.00   1.34    0.0    0.1    0.0    1.3   1.34   0.53    0.00    0.00
 2003 093    37    36    0.1    0.0    0.1   0.00   1.33    0.0    0.1    0.0    1.3   1.33   0.51    0.00    0.00
 2003 094    38    37    0.1    0.0    0.1   0.00   1.31    0.0    0.1    0.0    1.3   1.31   0.49    0.00    0.00
 2003 095    39    38    0.1    0.0    0.1   0.00   1.30    0.0    0.1    0.0    1.3   1.30   0.48    0.00    0.00
 2003 096    40    39    0.1    0.0    0.1   0.00   1.28    0.0    0.1    0.0    1.3   1.28   0.48    0.00    0.00
 2003 097    41    40    0.2    0.0    0.2   0.00   4.28    0.2    0.2    0.0    4.3   4.28   1.12    0.00    0.00
 2003 098    42    41    0.2    0.0    0.2   0.00   4.19    0.2    0.2    0.0    4.2   4.19   1.12    0.00    0.00
 2003 099    43    42    0.2    0.0    0.2   0.00   4.25    0.2    0.2    0.0    4.3   4.25   1.10    0.00    0.00
 2003 100    44    43    0.2    0.0    0.2   0.00   4.22    0.2    0.2    0.0    4.2   4.22   1.11    0.00    0.00
 2003 101    45    44    0.2    0.0    0.2   0.00   4.58    0.2    0.2    0.0    4.6   4.58   1.18    0.00    0.00
 2003 102    46    45    0.3    0.0    0.3   0.00   4.82    0.3    0.3    0.0    4.8   4.82   1.26    0.00    0.00
 2003 103    47    46    0.4    0.0    0.4   0.00   4.89    0.4    0.4    0.0    4.9   4.89   1.32    0.00    0.00
 2003 104    48    47    0.6    0.0    0.6   0.00   4.96    0.6    0.6    0.0    5.0   4.96   1.40    0.00    0.00
 2003 105    49    48    0.8    0.0    0.8   0.00   4.96    0.8    0.8    0.0    5.0   4.96   1.46    0.00    0.00
 2003 106    50    49    1.1    0.0    1.1   0.00   4.90    1.1    1.1    0.0    4.9   4.90   1.50    0.00    0.00
 2003 107    51    50    1.5    0.0    1.5   0.00   4.86    1.6    1.5    0.1    4.9   4.86   1.54    0.00    0.00
 2003 108    52    51    2.0    0.0    2.0   0.00   4.83    2.1    1.9    0.1    4.8   4.83   1.53    0.00    0.00
 2003 109    53    52    2.5    0.0    2.5   0.00   4.61    2.5    2.3    0.1    4.6   4.61   1.47    0.00    0.01
 2003 110    54    53    3.3    0.0    3.3   0.00   4.70    3.5    3.1    0.2    4.7   4.70   1.56    0.00    0.01
 2003 111    55    54    3.5    0.0    3.5   0.00   4.22    3.6    3.2    0.2    4.2   4.22   1.34    0.00    0.02
 2003 112    56    55    4.3    0.0    4.3   0.00   4.33    4.8    4.0    0.3    4.3   4.33   2.04    0.00    0.02
 2003 113    57    56    4.9    0.0    4.9   0.00   4.20    5.7    4.6    0.4    4.2   4.20   1.89    0.00    0.04
 2003 114    58    57    5.7    0.0    5.7   0.00   4.15    6.5    5.3    0.5    4.1   4.15   1.53    0.00    0.04
 2003 115    59    58    5.7    0.0    5.7   0.00   3.88    6.5    5.3    0.5    3.9   3.88   1.49    0.00    0.04
 2003 116    60    59    7.3    0.0    7.3   0.00   4.16    8.4    6.7    0.6    4.2   4.16   1.61    0.00    0.04
 2003 117    61    60    8.2    0.0    8.2   0.00   4.02    9.6    7.5    0.7    4.0   4.02   1.59    0.00    0.10
 2003 118    62    61    9.5    0.0    9.5   0.00   4.00   11.3    8.7    0.8    4.0   4.00   1.59    0.00    0.10
 2003 119    63    62   10.7    0.0   10.7   0.00   3.93   12.8    9.8    0.9    3.9   3.93   1.47    0.00    0.20
 2003 120    64    63   12.0    0.0   12.0   0.00   3.86   14.7   11.0    1.0    3.9   3.86   1.49    0.00    0.31
 2003 121    65    64   13.6    0.0   13.6   0.00   3.83   16.6   12.4    1.2    3.8   3.83   1.42    0.00    0.31
 2003 122    66    65   14.6    0.0   14.6   0.00   3.70   18.5   13.4    1.3    3.7   3.70   1.48    0.00    0.46
