*SOIL NITROGEN DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2003 056     0     0     0     0.0    9.9       0    2.4    7.5   0.4   0.2   0.2   0.2   0.1   0.2   0.1   0.1   0.1   0.0   0.2   0.4   0.4   0.4   0.5  0.54  0.45  0.49  0.49  0.00    0.00    0.75    0.00    0.04    0.00
 2003 057     1     0     0     0.0    9.9       0    2.9    7.0   0.3   0.3   0.2   0.3   0.2   0.2   0.2   0.1   0.1   0.0   0.2   0.3   0.4   0.3   0.4  0.49  0.41  0.48  0.48  0.00    0.00    1.30    0.00    0.07    0.00
 2003 058     2     0     0     0.0    9.8       0    3.5    6.4   0.2   0.3   0.4   0.4   0.2   0.3   0.2   0.1   0.1   0.0   0.0   0.3   0.3   0.2   0.4  0.44  0.37  0.46  0.46  0.00    0.00    1.84    0.00    0.14    0.00
 2003 059     3     0     0     0.0    9.8       0    3.9    5.9   0.1   0.3   0.5   0.4   0.2   0.3   0.3   0.1   0.1   0.0   0.0   0.2   0.3   0.2   0.4  0.40  0.33  0.45  0.45  0.00    0.00    2.26    0.00    0.19    0.00
 2003 060     4     0     0     0.0    9.7       0    4.2    5.5   0.0   0.2   0.5   0.7   0.3   0.3   0.3   0.2   0.2   0.0   0.0   0.1   0.2   0.2   0.3  0.37  0.30  0.44  0.44  0.00    0.00    2.64    0.00    0.23    0.00
 2003 061     5     0     0     0.0    9.7       0    4.5    5.2   0.0   0.2   0.5   0.8   0.3   0.4   0.3   0.2   0.2   0.0   0.0   0.1   0.2   0.1   0.3  0.33  0.27  0.43  0.43  0.00    0.00    2.92    0.00    0.26    0.00
 2003 062     6     0     0     0.0    9.6       0    4.8    4.9   0.0   0.2   0.4   0.8   0.4   0.4   0.4   0.2   0.2   0.0   0.0   0.1   0.2   0.1   0.3  0.31  0.25  0.42  0.42  0.00    0.00    3.17    0.00    0.28    0.00
 2003 063     7     0     0     0.0    9.6       0    5.0    4.6   0.0   0.1   0.4   0.6   0.6   0.5   0.4   0.2   0.2   0.0   0.0   0.0   0.2   0.1   0.3  0.28  0.23  0.41  0.41  0.00    0.00    3.39    0.00    0.30    0.00
 2003 064     8     0     0     0.0    9.6       0    5.2    4.4   0.0   0.1   0.3   0.6   0.6   0.5   0.4   0.2   0.2   0.0   0.0   0.0   0.2   0.1   0.2  0.26  0.21  0.40  0.40  0.00    0.00    3.60    0.00    0.32    0.00
 2003 065     9     0     0     0.0    9.6       0    5.4    4.2   0.0   0.1   0.3   0.5   0.7   0.6   0.4   0.2   0.2   0.0   0.0   0.0   0.2   0.1   0.2  0.24  0.19  0.39  0.39  0.00    0.00    3.79    0.00    0.34    0.00
 2003 066    10     0     0     0.0    9.6       0    5.6    4.0   0.0   0.1   0.3   0.5   0.7   0.7   0.4   0.2   0.2   0.0   0.0   0.0   0.2   0.1   0.2  0.22  0.17  0.38  0.38  0.00    0.00    3.98    0.01    0.35    0.00
 2003 067    11     0     0     0.0    9.5       0    5.7    3.8   0.0   0.0   0.3   0.4   0.7   0.8   0.5   0.2   0.2   0.0   0.0   0.0   0.1   0.0   0.2  0.20  0.16  0.37  0.37  0.00    0.00    4.16    0.01    0.35    0.00
 2003 068    12     0     0     0.0    9.5       0    5.9    3.7   0.0   0.0   0.2   0.4   0.7   0.9   0.5   0.2   0.2   0.0   0.0   0.0   0.1   0.0   0.2  0.18  0.14  0.37  0.36  0.00    0.00    4.32    0.01    0.35    0.00
 2003 069    13     0     0     0.0    9.5       0    6.0    3.5   0.0   0.0   0.2   0.3   0.5   0.8   0.8   0.2   0.2   0.0   0.0   0.0   0.1   0.0   0.2  0.16  0.13  0.36  0.35  0.00    0.00    4.48    0.01    0.35    0.00
 2003 070    14     0     0     0.0    9.5       0    6.2    3.3   0.0   0.0   0.2   0.3   0.5   0.8   0.9   0.3   0.3   0.0   0.0   0.0   0.1   0.0   0.1  0.15  0.12  0.35  0.34  0.00    0.00    4.65    0.02    0.35    0.00
 2003 071    15     0     0     0.0    9.5       0    6.3    3.2   0.0   0.0   0.2   0.2   0.4   0.7   0.9   0.4   0.3   0.0   0.0   0.0   0.1   0.0   0.1  0.13  0.11  0.34  0.34  0.00    0.00    4.81    0.02    0.35    0.00
 2003 072    16     0     0     0.0    9.5       0    6.5    3.0   0.0   0.0   0.2   0.2   0.4   0.8   0.9   0.4   0.3   0.0   0.0   0.0   0.1   0.0   0.1  0.13  0.10  0.33  0.33  0.00    0.01    4.95    0.02    0.35    0.00
 2003 073    17     0     0     0.0    9.5       0    6.6    2.9   0.0   0.0   0.2   0.2   0.4   0.8   0.9   0.4   0.3   0.0   0.0   0.0   0.1   0.0   0.1  0.12  0.09  0.32  0.32  0.00    0.01    5.08    0.02    0.35    0.00
 2003 074    18     0     0     0.0    9.5       0    6.7    2.8   0.0   0.0   0.2   0.2   0.4   0.8   0.9   0.4   0.3   0.0   0.0   0.0   0.0   0.0   0.1  0.11  0.09  0.31  0.31  0.00    0.01    5.20    0.02    0.35    0.00
 2003 075    19     0     0     0.0    9.5       0    6.8    2.7   0.0   0.0   0.2   0.2   0.4   0.8   0.9   0.5   0.3   0.0   0.0   0.0   0.0   0.0   0.1  0.11  0.08  0.31  0.30  0.00    0.01    5.31    0.02    0.35    0.00
 2003 076    20     0     0     0.0    9.5       0    6.9    2.6   0.0   0.0   0.2   0.2   0.4   0.8   0.9   0.5   0.3   0.0   0.0   0.0   0.0   0.0   0.1  0.10  0.08  0.30  0.30  0.00    0.02    5.40    0.02    0.35    0.00
 2003 077    21     0     0     0.0    9.5       0    7.0    2.5   0.0   0.0   0.1   0.2   0.4   0.8   0.9   0.5   0.3   0.0   0.0   0.0   0.0   0.0   0.1  0.10  0.07  0.29  0.29  0.00    0.02    5.49    0.03    0.35    0.00
 2003 078    22     0     0     0.0    9.5       0    7.1    2.4   0.0   0.0   0.1   0.2   0.4   0.8   0.9   0.5   0.3   0.0   0.0   0.0   0.0   0.0   0.0  0.10  0.07  0.28  0.28  0.00    0.02    5.57    0.03    0.35    0.00
 2003 079    23     0     0     0.0    9.5       0    7.1    2.4   0.0   0.0   0.1   0.1   0.4   0.8   0.9   0.6   0.3   0.0   0.0   0.0   0.0   0.0   0.0  0.09  0.07  0.28  0.27  0.00    0.02    5.65    0.03    0.35    0.00
 2003 080    24     0     0     0.0    9.5       0    7.2    2.3   0.0   0.0   0.1   0.1   0.3   0.8   1.0   0.6   0.3   0.0   0.0   0.0   0.0   0.0   0.0  0.09  0.06  0.27  0.27  0.00    0.03    5.71    0.04    0.35    0.00
 2003 081    25     0     0     0.0    9.5       0    7.3    2.2   0.0   0.0   0.1   0.1   0.3   0.7   0.8   0.7   0.4   0.0   0.0   0.0   0.0   0.0   0.0  0.09  0.06  0.26  0.26  0.00    0.03    5.78    0.05    0.35    0.00
 2003 082    26     0     0     0.2    9.3       0    7.1    2.2   0.0   0.0   0.0   0.1   0.2   0.6   0.8   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0  0.09  0.06  0.26  0.25  0.00    0.03    5.84    0.06    0.35    0.00
 2003 083    27     0     0     0.4    9.1       0    7.0    2.1   0.0   0.0   0.0   0.1   0.2   0.5   0.7   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0  0.08  0.06  0.26  0.25  0.00    0.03    5.89    0.06    0.35    0.00
 2003 084    28     0     0     0.6    8.9       0    6.8    2.1   0.0   0.0   0.0   0.1   0.2   0.5   0.7   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0  0.08  0.05  0.25  0.25  0.00    0.04    5.94    0.06    0.35    0.00
 2003 085    29     0     0     0.7    8.8       0    6.7    2.0   0.0   0.0   0.0   0.1   0.2   0.4   0.6   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0  0.07  0.05  0.25  0.24  0.00    0.04    5.99    0.07    0.35    0.00
 2003 086    30     0     0     0.7    8.8       0    6.8    2.0   0.0   0.0   0.0   0.1   0.2   0.4   0.6   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0  0.07  0.05  0.24  0.24  0.00    0.04    6.03    0.07    0.35    0.00
 2003 087    31     0     0     0.8    8.7       0    6.7    2.0   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.07  0.05  0.24  0.23  0.00    0.05    6.08    0.07    0.35    0.00
 2003 088    32     0     0     0.8    8.7       0    6.8    1.9   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.06  0.04  0.24  0.23  0.00    0.05    6.12    0.07    0.35    0.00
 2003 089    33     0     0     0.8    8.7       0    6.8    1.9   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.06  0.04  0.23  0.23  0.00    0.05    6.16    0.07    0.35    0.00
 2003 090    34     0     0     0.9    8.6       0    6.7    1.8   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.06  0.04  0.23  0.22  0.00    0.06    6.20    0.07    0.35    0.00
 2003 091    35     0     0     1.0    8.5       0    6.7    1.8   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.06  0.04  0.23  0.22  0.00    0.06    6.24    0.08    0.35    0.00
 2003 092    36     0     0     1.0    8.4       0    6.7    1.8   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.05  0.03  0.22  0.22  0.00    0.06    6.28    0.08    0.35    0.00
 2003 093    37     0     0     1.1    8.4       0    6.7    1.7   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.05  0.03  0.22  0.21  0.00    0.06    6.31    0.08    0.35    0.00
 2003 094    38     0     0     1.1    8.4       0    6.7    1.7   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.05  0.03  0.22  0.21  0.00    0.06    6.34    0.08    0.35    0.00
 2003 095    39     0     0     1.1    8.4       0    6.7    1.7   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.04  0.03  0.21  0.21  0.00    0.07    6.38    0.08    0.35    0.00
 2003 096    40     0     0     1.1    8.4       0    6.7    1.6   0.0   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.04  0.03  0.21  0.21  0.00    0.07    6.41    0.08    0.35    0.00
 2003 097    41    27     1     1.1   35.3       0   20.4   14.9  22.7   0.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0  22.2   0.0   0.0   0.0   0.0  0.04  0.03  0.21  0.20  0.00    0.07    6.45    0.08    0.35    0.04
 2003 098    42    27     1     1.1   35.0       0   33.5    1.6  30.4   7.0   0.0   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.04  0.02  0.20  0.20  0.00    0.07   19.48    0.08    0.40    0.10
 2003 099    43    27     1     1.1   35.0       0   33.4    1.5  16.3  10.2   3.8   0.1   0.1   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.04  0.02  0.20  0.20  0.00    0.08   19.51    0.08    0.40    0.10
 2003 100    44    27     1     1.2   34.9       0   33.4    1.5  14.4   9.9   4.5   0.7   0.2   0.4   0.6   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.03  0.02  0.20  0.19  0.00    0.08   19.54    0.08    0.40    0.10
 2003 101    45    27     1     1.4   34.6       0   33.1    1.5  13.2   9.1   4.6   1.5   0.4   0.4   0.5   0.7   0.6   0.0   0.0   0.0   0.0   0.0   0.0  0.03  0.02  0.20  0.19  0.00    0.08   19.57    0.08    0.40    0.10
 2003 102    46    62     2     1.6   69.2       1   50.6   18.7  42.2   8.4   4.6   2.0   0.6   0.5   0.5   0.7   0.6   0.0  28.7   0.0   0.0   0.0   0.0  0.03  0.02  0.19  0.19  0.00    0.08   19.59    0.09    0.40    0.23
