*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 2003 056     0  19.2  18.9  18.7  18.7  18.8  19.0  19.2  19.4  19.5   0.0
 2003 057     1  19.1  18.8  18.7  18.7  18.7  18.9  19.2  19.4  19.5   0.0
 2003 058     2  17.8  17.7  17.8  17.9  18.1  18.5  18.8  19.1  19.4   0.0
 2003 059     3  16.7  16.8  17.0  17.2  17.6  18.0  18.5  18.9  19.2   0.0
 2003 060     4  15.2  15.5  15.9  16.3  16.8  17.4  18.0  18.6  19.1   0.0
 2003 061     5  13.9  14.3  14.9  15.5  16.1  16.9  17.6  18.4  18.9   0.0
 2003 062     6  12.4  13.0  13.9  14.6  15.4  16.3  17.2  18.1  18.8   0.0
 2003 063     7  12.2  12.8  13.6  14.4  15.2  16.2  17.1  18.0  18.7   0.0
 2003 064     8  13.4  13.8  14.5  15.1  15.8  16.6  17.4  18.2  18.8   0.0
 2003 065     9  15.1  15.3  15.7  16.1  16.6  17.2  17.8  18.5  19.0   0.0
 2003 066    10  16.0  16.1  16.3  16.6  17.0  17.5  18.1  18.6  19.1   0.0
 2003 067    11  17.2  17.2  17.2  17.4  17.6  18.0  18.4  18.8  19.2   0.0
 2003 068    12  18.6  18.3  18.2  18.2  18.3  18.5  18.7  19.1  19.3   0.0
 2003 069    13  19.2  18.8  18.6  18.5  18.5  18.7  18.9  19.2  19.4   0.0
 2003 070    14  19.3  18.9  18.6  18.5  18.5  18.7  18.9  19.2  19.3   0.0
 2003 071    15  20.3  19.8  19.3  19.1  19.0  19.0  19.1  19.3  19.4   0.0
 2003 072    16  21.8  21.1  20.4  20.0  19.7  19.6  19.5  19.6  19.6   0.0
 2003 073    17  22.3  21.5  20.7  20.3  19.9  19.7  19.6  19.6  19.6   0.0
 2003 074    18  20.7  20.1  19.6  19.3  19.1  19.1  19.2  19.3  19.4   0.0
 2003 075    19  20.4  19.9  19.4  19.1  19.0  19.0  19.1  19.3  19.4   0.0
 2003 076    20  19.6  19.2  18.8  18.6  18.6  18.7  18.8  19.1  19.3   0.0
 2003 077    21  19.2  18.8  18.5  18.3  18.3  18.5  18.7  19.0  19.2   0.0
 2003 078    22  19.7  19.3  18.9  18.7  18.6  18.7  18.8  19.1  19.3   0.0
 2003 079    23  21.7  20.9  20.2  19.8  19.5  19.4  19.3  19.4  19.5   0.0
 2003 080    24  22.5  21.7  20.9  20.3  20.0  19.7  19.6  19.6  19.6   0.0
 2003 081    25  23.4  22.4  21.5  20.8  20.4  20.0  19.8  19.7  19.6   0.0
 2003 082    26  23.1  22.2  21.3  20.7  20.2  19.9  19.7  19.6  19.6   0.0
 2003 083    27  22.9  22.0  21.1  20.5  20.1  19.8  19.6  19.6  19.6   0.0
 2003 084    28  22.7  21.8  20.9  20.4  20.0  19.7  19.5  19.5  19.5   0.0
 2003 085    29  22.6  21.7  20.8  20.3  19.9  19.6  19.5  19.5  19.5   0.0
 2003 086    30  22.3  21.4  20.6  20.1  19.7  19.5  19.4  19.4  19.4   0.0
 2003 087    31  22.3  21.4  20.6  20.1  19.7  19.4  19.3  19.4  19.4   0.0
 2003 088    32  22.5  21.6  20.8  20.2  19.8  19.5  19.4  19.4  19.4   0.0
 2003 089    33  20.8  20.2  19.5  19.2  18.9  18.9  18.9  19.1  19.3   0.0
 2003 090    34  18.8  18.4  18.1  18.0  17.9  18.1  18.3  18.7  19.0   0.0
 2003 091    35  18.2  17.8  17.6  17.5  17.6  17.8  18.1  18.5  18.9   0.0
 2003 092    36  18.1  17.8  17.6  17.5  17.6  17.8  18.1  18.5  18.9   0.0
 2003 093    37  18.0  17.7  17.4  17.4  17.5  17.7  18.0  18.5  18.9   0.0
 2003 094    38  19.8  19.3  18.8  18.5  18.4  18.4  18.5  18.8  19.1   0.0
 2003 095    39  21.9  21.1  20.3  19.8  19.4  19.2  19.1  19.2  19.3   0.0
 2003 096    40  23.2  22.2  21.2  20.5  20.0  19.6  19.4  19.4  19.4   0.0
 2003 097    41  23.9  22.8  21.7  20.9  20.3  19.9  19.6  19.5  19.5   0.0
 2003 098    42  23.1  22.1  21.1  20.4  19.9  19.5  19.4  19.3  19.4   0.0
 2003 099    43  21.7  20.9  20.1  19.6  19.2  19.0  18.9  19.0  19.2   0.0
 2003 100    44  19.1  18.6  18.2  18.0  17.9  18.0  18.2  18.5  18.9   0.0
 2003 101    45  17.4  17.1  17.0  17.0  17.1  17.3  17.7  18.2  18.7   0.0
 2003 102    46  17.0  16.8  16.7  16.7  16.8  17.2  17.5  18.1  18.7   0.0
 2003 103    47  18.3  17.9  17.6  17.5  17.5  17.6  17.9  18.3  18.8   0.0
 2003 104    48  20.4  19.7  19.1  18.8  18.5  18.4  18.5  18.7  19.0   0.0
 2003 105    49  23.4  22.3  21.2  20.5  20.0  19.5  19.3  19.3  19.3   0.0
 2003 106    50  25.0  23.7  22.4  21.5  20.8  20.1  19.8  19.5  19.5   0.0
 2003 107    51  25.6  24.2  22.8  21.8  21.0  20.3  19.9  19.6  19.5   0.0
 2003 108    52  25.9  24.5  23.0  22.0  21.2  20.4  20.0  19.7  19.5   0.0
 2003 109    53  25.2  23.9  22.5  21.6  20.8  20.2  19.8  19.5  19.5   0.0
 2003 110    54  25.3  23.9  22.5  21.6  20.8  20.2  19.8  19.5  19.4   0.0
 2003 111    55  25.0  23.7  22.4  21.5  20.7  20.1  19.7  19.5  19.4   0.0
 2003 112    56  24.6  23.3  22.1  21.2  20.5  19.9  19.5  19.4  19.3   0.0
 2003 113    57  23.7  22.6  21.4  20.7  20.0  19.5  19.3  19.2  19.2   0.0
 2003 114    58  23.2  22.2  21.1  20.4  19.8  19.4  19.1  19.1  19.2   0.0
 2003 115    59  21.9  21.0  20.1  19.6  19.1  18.8  18.8  18.8  19.0   0.0
 2003 116    60  21.8  21.0  20.1  19.5  19.1  18.8  18.7  18.8  19.0   0.0
 2003 117    61  22.2  21.3  20.4  19.8  19.3  19.0  18.8  18.9  19.0   0.0
 2003 118    62  23.0  22.0  20.9  20.2  19.7  19.2  19.0  19.0  19.1   0.0
 2003 119    63  24.1  22.9  21.7  20.9  20.2  19.6  19.3  19.2  19.2   0.0
 2003 120    64  25.7  24.3  22.9  21.9  21.0  20.2  19.8  19.5  19.4   0.0
 2003 121    65  26.9  25.3  23.7  22.6  21.6  20.7  20.1  19.7  19.5   0.0
 2003 122    66  27.7  26.1  24.3  23.1  22.0  21.0  20.3  19.8  19.6   0.0
 2003 123    67  27.3  25.7  24.0  22.8  21.8  20.8  20.2  19.7  19.5   0.0
 2003 124    68  27.5  25.9  24.1  22.9  21.9  20.9  20.2  19.7  19.5   0.0
 2003 125    69  27.6  26.0  24.2  23.0  21.9  20.9  20.3  19.8  19.5   0.0
 2003 126    70  27.7  26.1  24.3  23.1  22.0  21.0  20.3  19.8  19.5   0.0
 2003 127    71  27.8  26.1  24.3  23.1  22.0  21.0  20.3  19.8  19.5   0.0
 2003 128    72  28.8  27.0  25.0  23.7  22.5  21.3  20.5  19.9  19.6   0.0
 2003 129    73  29.2  27.3  25.3  23.9  22.7  21.5  20.7  20.0  19.6   0.0
 2003 130    74  29.6  27.7  25.6  24.2  22.9  21.6  20.8  20.1  19.7   0.0
 2003 131    75  30.0  28.0  25.9  24.4  23.0  21.8  20.9  20.1  19.7   0.0
 2003 132    76  29.5  27.6  25.5  24.1  22.8  21.6  20.7  20.0  19.6   0.0
 2003 133    77  28.9  27.1  25.1  23.7  22.5  21.3  20.5  19.9  19.6   0.0
 2003 134    78  28.2  26.4  24.6  23.3  22.1  21.0  20.3  19.7  19.5   0.0
 2003 135    79  27.4  25.8  24.1  22.9  21.8  20.8  20.1  19.6  19.4   0.0
