*SOIL WATER DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 2003 056     0    48      0      0      0     0     0   136  0.035  0.086  0.086  0.086  0.086  0.150  0.150  0.150  0.258  0.000
 2003 057     1    58      0      0     10     0     0   136  0.213  0.093  0.086  0.086  0.086  0.150  0.150  0.151  0.257  0.000
 2003 058     2    86      0      0     39     0     0   136  0.320  0.291  0.122  0.086  0.086  0.151  0.150  0.151  0.257  0.000
 2003 059     3    84      0      0     39     0     0   136  0.235  0.261  0.168  0.088  0.085  0.151  0.150  0.151  0.257  0.000
 2003 060     4   121      2      0     79     0     0   136  0.335  0.341  0.337  0.182  0.085  0.151  0.150  0.151  0.257  0.000
 2003 061     5   122      2      0     81     0     0   136  0.296  0.319  0.333  0.225  0.096  0.151  0.150  0.152  0.256  0.000
 2003 062     6   130      2      0     90     0     0   136  0.313  0.338  0.334  0.258  0.113  0.151  0.150  0.152  0.256  0.000
 2003 063     7   147      2      0     95     1    13   136  0.329  0.341  0.341  0.314  0.192  0.159  0.150  0.152  0.256  0.000
 2003 064     8   146      2      0     97     1    13   136  0.272  0.318  0.335  0.316  0.212  0.172  0.150  0.152  0.256  0.000
 2003 065     9   156      2      0    108     1    13   136  0.324  0.341  0.337  0.316  0.230  0.191  0.150  0.153  0.255  0.000
 2003 066    10   166      2      0    119     1    13   136  0.299  0.341  0.341  0.316  0.276  0.221  0.150  0.153  0.255  0.000
 2003 067    11   170      2      0    126     1    13   136  0.286  0.334  0.339  0.316  0.279  0.252  0.151  0.153  0.255  0.000
 2003 068    12   177      2      0    135     1    13   136  0.310  0.341  0.341  0.316  0.283  0.283  0.152  0.153  0.255  0.000
 2003 069    13   174      2      0    135     1    13   136  0.207  0.301  0.301  0.284  0.256  0.290  0.249  0.154  0.254  0.000
 2003 070    14   172      2      0    135     1    13   136  0.158  0.271  0.271  0.260  0.235  0.290  0.292  0.170  0.254  0.000
 2003 071    15   170      2      0    135     1    13   136  0.134  0.246  0.247  0.241  0.219  0.291  0.291  0.198  0.254  0.000
 2003 072    16   172      2      0    140     1    13   136  0.152  0.232  0.244  0.248  0.216  0.301  0.293  0.198  0.254  0.000
 2003 073    17   170      2      0    140     1    13   136  0.129  0.216  0.238  0.251  0.215  0.309  0.296  0.200  0.253  0.000
 2003 074    18   173      2      0    145     1    13   136  0.188  0.206  0.232  0.252  0.214  0.315  0.299  0.202  0.253  0.000
 2003 075    19   171      2      0    145     1    13   136  0.144  0.197  0.217  0.235  0.203  0.309  0.296  0.224  0.253  0.000
 2003 076    20   201      2      0    176     1    13   136  0.311  0.338  0.259  0.247  0.204  0.313  0.299  0.226  0.253  0.000
 2003 077    21   199      2      0    177     1    13   136  0.239  0.313  0.271  0.261  0.207  0.316  0.302  0.229  0.253  0.000
