*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 056     0  204.43    0.00    0.00   0.00   0.00   0.00   0.00   0.00   2.53   0.00   0.00    0.00      0.00       0.00   0.00   0.00
 2003 057     1  213.95    0.00    0.00   0.00   9.90   0.00   0.00   0.00   0.37   0.00   0.00    0.00      0.00       9.90   0.00   0.00
 2003 058     2  242.77    0.00    0.00   0.00  29.50   0.00   0.00   0.00   0.68   0.00   0.00    0.00      0.00      29.50   0.00   0.00
 2003 059     3  240.23    0.00    0.00   0.00   0.00   0.00   0.00   0.00   2.54   0.00   0.00    0.00      0.00       0.00   0.00   0.00
 2003 060     4  277.71    0.00    0.00   0.00  39.90   0.00   2.14   0.00   0.28   0.00   0.00    0.00      0.00      37.76   0.00   0.00
 2003 061     5  278.10    0.00    0.00   0.00   1.80   0.00   0.00   0.00   1.41   0.00   0.00    0.00      0.00       1.80   0.00   0.00
 2003 062     6  285.82    0.00    0.00   0.00   9.10   0.00   0.00   0.00   1.38   0.00   0.00    0.00      0.00       9.10   0.00   0.00
 2003 063     7  303.33    0.00    0.00  13.00   5.10   0.00   0.00   0.00   0.59   0.00   0.00    0.00      0.00      18.10   0.00   0.00
 2003 064     8  302.61    0.00    0.00   0.00   1.30   0.00   0.00   0.00   2.03   0.00   0.00    0.00      0.00       1.30   0.00   0.00
 2003 065     9  312.68    0.00    0.00   0.00  10.90   0.00   0.00   0.00   0.83   0.00   0.00    0.00      0.00      10.90   0.00   0.00
 2003 066    10  322.40    0.00    0.00   0.00  11.90   0.00   0.08   0.00   2.09   0.00   0.00    0.00      0.00      11.82   0.00   0.00
 2003 067    11  325.97    0.00    0.00   0.00   6.30   0.00   0.00   0.00   2.74   0.00   0.00    0.00      0.00       6.30   0.00   0.00
 2003 068    12  333.33    0.00    0.00   0.00   8.90   0.00   0.00   0.00   1.54   0.00   0.00    0.00      0.00       8.90   0.00   0.00
 2003 069    13  329.82    0.00    0.00   0.00   0.00   0.00   0.00   0.00   3.50   0.00   0.00    0.00      0.00       0.00   0.00   0.00
 2003 070    14  327.81    0.00    0.00   0.00   0.00   0.00   0.00   0.00   2.01   0.00   0.00    0.00      0.00       0.00   0.00   0.00
 2003 071    15  326.50    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.30   0.00   0.00    0.00      0.01       0.00   0.00  -0.01
 2003 072    16  327.89    0.00    0.00   0.00   5.30   0.00   0.00   0.00   3.90   0.01   0.00    0.00      0.01       5.30   0.00  -0.01
 2003 073    17  326.56    0.00    0.00   0.00   0.30   0.00   0.00   0.00   1.63   0.01   0.00    0.00      0.00       0.30   0.00   0.00
