*WEATHER MODULE DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2003 056     0    0.0   11.2   12.1   15.8   31.6   0.23   22.2    9.0   15.2   17.7    9.0   15.2   17.7   28.2    330
 2003 057     1    9.9   11.2   12.1   10.0   20.0   0.51   21.0   10.2   15.3   17.3   10.2   15.3   17.3   28.2    330
 2003 058     2   29.5   11.2   12.2    3.6    7.2   0.83   14.0    7.6   10.6   11.8    7.6   10.6   11.8   28.2    330
 2003 059     3    0.0   11.3   12.2   14.1   28.2   0.33   15.3    6.0   10.4   12.1    6.0   10.4   12.1   28.2    330
 2003 060     4   39.9   11.3   12.2    1.5    3.0   0.93   11.9    9.3   10.5   11.0    9.3   10.5   11.0   28.2    330
 2003 061     5    1.8   11.3   12.3    7.2   14.4   0.66   15.1    9.4   12.1   13.2    9.4   12.1   13.2   28.2    330
 2003 062     6    9.1   11.4   12.3    7.6   15.2   0.65   11.8    6.4    8.9   10.0    6.4    8.9   10.0   28.2    330
 2003 063     7    5.1   11.4   12.3    3.1    6.2   0.86   12.9    8.8   10.7   11.5    8.8   10.7   11.5   28.2    330
 2003 064     8    1.3   11.4   12.4    8.9   17.8   0.59   24.0   12.9   18.1   20.3   12.9   18.1   20.3   28.2    330
 2003 065     9   10.9   11.5   12.4    3.6    7.2   0.84   23.5   14.7   18.8   20.6   14.7   18.8   20.6   28.2    330
 2003 066    10   11.9   11.5   12.4    9.8   19.6   0.56   19.1   12.6   15.7   16.9   12.6   15.7   16.9   28.2    330
 2003 067    11    6.3   11.5   12.4   13.2   26.4   0.41   18.9    9.6   14.0   15.8    9.6   14.0   15.8   28.2    330
 2003 068    12    8.9   11.6   12.5    7.0   14.0   0.69   20.5   14.0   17.1   18.3   14.0   17.1   18.3   28.2    330
 2003 069    13    0.0   11.6   12.5   21.6   43.2   0.04   25.3    9.4   16.9   20.0    9.4   16.9   20.0   28.2    330
 2003 070    14    0.0   11.6   12.5   16.9   33.8   0.26   22.6    8.3   15.1   17.9    8.3   15.1   17.9   28.2    330
 2003 071    15    0.0   11.7   12.6   17.5   35.0   0.24   25.9   10.4   17.7   20.8   10.4   17.7   20.8   28.2    330
 2003 072    16    5.3   11.7   12.6   16.1   32.2   0.30   27.1   16.0   21.3   23.5   16.0   21.3   23.5   28.2    330
 2003 073    17    0.3   11.7   12.6    9.0   18.0   0.61   22.5   13.2   17.6   19.5   13.2   17.6   19.5   28.2    330
 2003 074    18    4.6   11.8   12.7    7.0   14.0   0.70   14.6   11.1   12.8   13.5   11.1   12.8   13.5   28.2    330
 2003 075    19    0.0   11.8   12.7   17.5   35.0   0.26   21.9   11.6   16.5   18.6   11.6   16.5   18.6   28.2    330
 2003 076    20   31.0   11.8   12.7    7.8   15.6   0.67   20.7   14.3   17.3   18.6   14.3   17.3   18.6   28.2    330
 2003 077    21    0.8   11.9   12.8   12.5   25.0   0.48   25.0   16.0   20.3   22.1   16.0   20.3   22.1   28.2    330
 2003 078    22    3.3   11.9   12.8   10.3   20.6   0.57   26.3   16.4   21.1   23.1   16.4   21.1   23.1   28.2    330
 2003 079    23   49.3   11.9   12.8   10.5   21.0   0.57   26.6   18.9   22.6   24.1   18.9   22.6   24.1   28.2    330
 2003 080    24    5.6   12.0   12.9   21.2   42.4   0.13   25.3   15.1   20.0   22.0   15.1   20.0   22.0   28.2    330
 2003 081    25    0.0   12.0   12.9   23.5   47.0   0.05   24.5   11.1   17.5   20.2   11.1   17.5   20.2   28.2    330
 2003 082    26    0.0   12.0   12.9   19.3   38.6   0.22   22.3   11.6   16.7   18.5   11.6   16.7   18.5   28.2    330
 2003 083    27    0.0   12.1   13.0   24.2   48.4   0.03   23.9    9.3   16.3   18.7    9.3   16.3   18.7   28.2    330
 2003 084    28    0.0   12.1   13.0   23.3   46.6   0.07   24.8   11.3   17.8   20.0   11.3   17.8   20.0   28.2    330
 2003 085    29    0.0   12.1   13.0   20.9   41.8   0.17   25.0   13.4   19.0   20.9   13.4   19.0   20.9   28.2    330
 2003 086    30    0.3   12.2   13.1   14.5   29.0   0.43   22.8   16.6   19.6   20.6   16.6   19.6   20.6   28.2    330
 2003 087    31    0.0   12.2   13.1    9.3   18.6   0.64   23.3   15.0   19.0   20.4   15.0   19.0   20.4   28.2    330
 2003 088    32    1.8   12.2   13.1   20.7   41.4   0.20   25.8   12.5   18.9   21.1   12.5   18.9   21.1   28.2    330
 2003 089    33   11.4   12.3   13.2   16.4   32.8   0.37   14.5    5.4    9.8   11.3    5.4    9.8   11.3   28.2    330
 2003 090    34    0.0   12.3   13.2   26.3   52.6   0.00   13.7    0.5    6.9    9.1    0.5    6.9    9.1   28.2    330
 2003 091    35    0.0   12.3   13.2   25.4   50.8   0.03   20.5    4.1   12.0   14.8    4.1   12.0   14.8   28.2    330
 2003 092    36    0.0   12.4   13.3   21.7   43.4   0.18   22.6   13.1   17.7   19.3   13.1   17.7   19.3   28.2    330
 2003 093    37    0.0   12.4   13.3   24.1   48.2   0.09   24.5    9.4   16.7   19.2    9.4   16.7   19.2   28.2    330
 2003 094    38    0.0   12.4   13.3   22.5   45.0   0.16   26.0   11.0   18.3   20.8   11.0   18.3   20.8   28.2    330
 2003 095    39    1.3   12.5   13.4   12.7   25.4   0.53   26.2   15.5   20.7   22.5   15.5   20.7   22.5   28.2    330
 2003 096    40    0.0   12.5   13.4   16.6   33.2   0.39   26.9   18.7   22.7   24.1   18.7   22.7   24.1   28.2    330
 2003 097    41    8.6   12.5   13.4    8.1   16.2   0.70   27.1   17.6   22.2   23.8   17.6   22.2   23.8   28.2    330
 2003 098    42   24.4   12.5   13.5    3.6    7.2   0.87   18.8   15.7   17.2   17.7   15.7   17.2   17.7   28.2    330
 2003 099    43   15.0   12.6   13.5    7.8   15.6   0.72   18.8   10.8   14.7   16.1   10.8   14.7   16.1   28.2    330
 2003 100    44    1.5   12.6   13.5    5.6   11.2   0.80   10.9    6.2    8.5    9.3    6.2    8.5    9.3   28.2    330
 2003 101    45    0.0   12.6   13.6   18.6   37.2   0.33   19.3    7.0   13.0   15.1    7.0   13.0   15.1   28.2    330
 2003 102    46    0.0   12.7   13.6   27.5   55.0   0.02   24.2    7.8   15.8   18.6    7.8   15.8   18.6   28.2    330
 2003 103    47    0.0   12.7   13.6   26.3   52.6   0.06   26.8   10.5   18.5   21.3   10.5   18.5   21.3   28.2    330
 2003 104    48    0.0   12.7   13.7   26.7   53.4   0.05   29.7   12.6   21.0   23.9   12.6   21.0   23.9   28.2    330
 2003 105    49    0.0   12.8   13.7   25.2   50.4   0.11   26.5   15.3   20.8   22.7   15.3   20.8   22.7   28.2    330
 2003 106    50    0.0   12.8   13.7   23.2   46.4   0.19   25.9   13.9   19.8   21.9   13.9   19.8   21.9   28.2    330
 2003 107    51    0.0   12.8   13.8   22.2   44.4   0.22   26.7   15.4   20.9   22.9   15.4   20.9   22.9   28.2    330
 2003 108    52    0.0   12.9   13.8   21.7   43.4   0.25   28.5   17.7   23.0   24.9   17.7   23.0   24.9   28.2    330
 2003 109    53    0.0   12.9   13.8   18.3   36.6   0.37   25.5   16.9   21.1   22.6   16.9   21.1   22.6   28.2    330
 2003 110    54    0.0   12.9   13.9   23.2   46.4   0.20   27.3   17.4   22.3   24.0   17.4   22.3   24.0   28.2    330
 2003 111    55    0.0   13.0   13.9   11.9   23.8   0.59   25.2   17.0   21.0   22.5   17.0   21.0   22.5   28.2    330
 2003 112    56    0.0   13.0   13.9   28.2   56.4   0.04   23.4   13.8   18.5   20.2   13.8   18.5   20.2   28.2    330
