A	53.3	44.3	17.2	17.1	29.5	38.6
AF	61.7	52.5	14.4	12.9	23.9	34.6
AF 	81.1	75.5	8.7	8.9	10.2	15.6
AF 	61.7	44.5	14.3	10.8	24	44.7
AF 	21.3	13.1	25.7	24.4	52.9	62.3
AG	40.9	36.8	27.2	29.7	32.1	33.4
AG 	89.3	72.5	7.2	9.5	3.5	17.9
AG 	9.6	15.8	75.2	64.7	15.3	19.6
AG 	35.2	32	17.9	24.8	47.2	43.2
AH	31.3	27.1	24.8	25.1	43.8	47.8
AH 	72.8	71.9	14.6	10.6	12.6	17.4
AH 	52.4	45.4	27.9	33	19.6	21.5
AH 	9.2	7.4	26.1	22.2	64.8	70.4
AO	53.6	43.4	15.8	16	30.6	40.6
AO 	82.3	68.1	8.6	11.4	9.2	20.5
AO 	51	41.3	21.6	17.2	27.4	41.5
AO 	33	28.9	14.2	15.5	52.9	55.6
AP	57	46.2	15.6	17.1	27.1	36.8
AP 	80	65.1	12	14.6	7.8	20.3
AP 	58.7	45.4	16.3	17.4	25	37.1
AP 	10.4	8.8	22.7	22	66.7	69.6
B	60.4	60	17	16.6	22.5	23.4
BC	40.1	41.8	21.5	22.7	38.4	35.5
BC 	-1	-1	-1	-1	-1	-1
BC 	56.7	56.8	23.6	20.6	19.8	22.5
BC 	15.3	19.3	18.5	25.7	66.3	55
BD	32.7	29.8	30.3	37.6	37.1	32.3
BD 	-1	-1	-1	-1	-1	-1
BD 	39.9	38.2	34.1	38.4	26	22.7
BD 	27.8	24.2	27.8	37	44.4	38.8
BE	36.4	41.7	37.2	32.1	26.4	26.3
BE 	84.5	78.3	6.1	7.6	10.4	15.4
BE 	36.4	40.4	41.1	35.2	22.5	24.4
BE 	18.8	22.7	35.7	35.5	45.4	41.6
BF	34.2	31.5	15.5	18.7	50.2	50
BF 	82.2	89.5	10	8.3	8	3.2
BF 	-1	-1	-1	-1	-1	-1
BF 	22.3	17	16.9	21.3	60.7	61.7
BG	34.2	35.3	20.4	16.1	45.4	48.4
BG 	78.9	76.4	8.2	7.2	12.4	15.6
BG 	71.3	75.5	3.7	2.3	25	22.2
BG 	6.9	8.3	30	23.7	63.1	68.1
BH	55.2	60.4	21	16.5	23.8	23.2
BH 	82.5	81.1	6.1	2.9	11.6	16.1
